Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Flight_Number_Reporting_Airline,Origin,OriginState,Dest,DestState,CRSDepTime,DepTime,DepDelay,DepDel15,TaxiOut,CRSArrTime,ArrTime,ArrDelay,ArrDel15,TaxiIn,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MinutesRecovered,Delayed15
2025,1,1,3,2025-01-01,OO,4651,CHO,VA,ORD,IL,630,621.0,-9.0,0.0,11.0,750,721.0,-29.0,0.0,15.0,140.0,120.0,94.0,566.0,0.0,,0.0,,,,,,20.0,0
2025,1,1,3,2025-01-01,OO,5606,CHO,VA,ORD,IL,1745,1737.0,-8.0,0.0,12.0,1850,1849.0,-1.0,0.0,27.0,125.0,132.0,93.0,566.0,0.0,,0.0,,,,,,-7.0,0
2025,1,1,3,2025-01-01,AA,347,DCA,VA,MIA,FL,959,954.0,-5.0,0.0,12.0,1257,1228.0,-29.0,0.0,8.0,178.0,154.0,134.0,919.0,0.0,,0.0,,,,,,24.0,0
2025,1,1,3,2025-01-01,AA,365,DCA,VA,CLT,NC,1957,1953.0,-4.0,0.0,15.0,2135,2117.0,-18.0,0.0,5.0,98.0,84.0,64.0,331.0,0.0,,0.0,,,,,,14.0,0
2025,1,1,3,2025-01-01,AA,391,DCA,VA,MIA,FL,612,605.0,-7.0,0.0,22.0,911,849.0,-22.0,0.0,17.0,179.0,164.0,125.0,919.0,0.0,,0.0,,,,,,15.0,0
2025,1,1,3,2025-01-01,AA,422,DCA,VA,MIA,FL,815,810.0,-5.0,0.0,29.0,1113,1109.0,-4.0,0.0,16.0,178.0,179.0,134.0,919.0,0.0,,0.0,,,,,,-1.0,0
2025,1,1,3,2025-01-01,AA,436,DCA,VA,BOS,MA,1454,1458.0,4.0,0.0,22.0,1628,1625.0,-3.0,0.0,4.0,94.0,87.0,61.0,399.0,0.0,,0.0,,,,,,7.0,0
2025,1,1,3,2025-01-01,AA,489,DCA,VA,ORD,IL,1154,1158.0,4.0,0.0,14.0,1314,1259.0,-15.0,0.0,9.0,140.0,121.0,98.0,612.0,0.0,,0.0,,,,,,19.0,0
2025,1,1,3,2025-01-01,AA,544,DCA,VA,TPA,FL,1951,1943.0,-8.0,0.0,12.0,2229,2244.0,15.0,1.0,48.0,158.0,181.0,121.0,814.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,-23.0,1
2025,1,1,3,2025-01-01,AA,555,DCA,VA,MIA,FL,500,457.0,-3.0,0.0,13.0,754,733.0,-21.0,0.0,7.0,174.0,156.0,136.0,919.0,0.0,,0.0,,,,,,18.0,0
2025,1,1,3,2025-01-01,AA,592,DCA,VA,MCO,FL,644,735.0,51.0,1.0,16.0,922,1001.0,39.0,1.0,11.0,158.0,146.0,119.0,759.0,0.0,,0.0,39.0,0.0,0.0,0.0,0.0,12.0,1
2025,1,1,3,2025-01-01,AA,1632,DCA,VA,DFW,TX,1714,1722.0,8.0,0.0,16.0,1956,2010.0,14.0,0.0,21.0,222.0,228.0,191.0,1192.0,0.0,,0.0,,,,,,-6.0,0
2025,1,1,3,2025-01-01,AA,1682,DCA,VA,ORD,IL,1454,1447.0,-7.0,0.0,13.0,1616,1549.0,-27.0,0.0,9.0,142.0,122.0,100.0,612.0,0.0,,0.0,,,,,,20.0,0
2025,1,1,3,2025-01-01,AA,1721,DCA,VA,MCO,FL,1520,1513.0,-7.0,0.0,24.0,1755,1752.0,-3.0,0.0,7.0,155.0,159.0,128.0,759.0,0.0,,0.0,,,,,,-4.0,0
2025,1,1,3,2025-01-01,AA,1839,DCA,VA,DFW,TX,630,625.0,-5.0,0.0,13.0,917,914.0,-3.0,0.0,15.0,227.0,229.0,201.0,1192.0,0.0,,0.0,,,,,,-2.0,0
2025,1,1,3,2025-01-01,AA,1893,DCA,VA,BDL,CT,2225,2213.0,-12.0,0.0,16.0,2352,2321.0,-31.0,0.0,4.0,87.0,68.0,48.0,313.0,0.0,,0.0,,,,,,19.0,0
2025,1,1,3,2025-01-01,AA,2844,DCA,VA,PHX,AZ,700,653.0,-7.0,0.0,22.0,1022,1029.0,7.0,0.0,6.0,322.0,336.0,308.0,1979.0,0.0,,0.0,,,,,,-14.0,0
2025,1,1,3,2025-01-01,AA,2903,DCA,VA,ORD,IL,559,551.0,-8.0,0.0,12.0,719,650.0,-29.0,0.0,8.0,140.0,119.0,99.0,612.0,0.0,,0.0,,,,,,21.0,0
2025,1,1,3,2025-01-01,AA,2939,DCA,VA,FLL,FL,1011,1004.0,-7.0,0.0,18.0,1313,1242.0,-31.0,0.0,6.0,182.0,158.0,134.0,899.0,0.0,,0.0,,,,,,24.0,0
2025,1,1,3,2025-01-01,AA,2943,DCA,VA,FLL,FL,1502,1559.0,57.0,1.0,10.0,1753,1832.0,39.0,1.0,5.0,171.0,153.0,138.0,899.0,0.0,,0.0,39.0,0.0,0.0,0.0,0.0,18.0,1
2025,1,1,3,2025-01-01,AA,2959,DCA,VA,ORD,IL,1713,1707.0,-6.0,0.0,19.0,1836,1834.0,-2.0,0.0,25.0,143.0,147.0,103.0,612.0,0.0,,0.0,,,,,,-4.0,0
2025,1,1,3,2025-01-01,AA,2987,DCA,VA,MIA,FL,1600,1555.0,-5.0,0.0,20.0,1900,1847.0,-13.0,0.0,14.0,180.0,172.0,138.0,919.0,0.0,,0.0,,,,,,8.0,0
2025,1,1,3,2025-01-01,AA,3008,DCA,VA,LGA,NY,1545,1625.0,40.0,1.0,16.0,1657,1729.0,32.0,1.0,6.0,72.0,64.0,42.0,214.0,0.0,,0.0,16.0,0.0,0.0,0.0,16.0,8.0,1
2025,1,1,3,2025-01-01,AA,3018,DCA,VA,MIA,FL,1154,1357.0,123.0,1.0,16.0,1450,1639.0,109.0,1.0,8.0,176.0,162.0,138.0,919.0,0.0,,0.0,6.0,0.0,0.0,0.0,103.0,14.0,1
2025,1,1,3,2025-01-01,AA,3066,DCA,VA,DFW,TX,1520,1517.0,-3.0,0.0,30.0,1809,1815.0,6.0,0.0,9.0,229.0,238.0,199.0,1192.0,0.0,,0.0,,,,,,-9.0,0
2025,1,1,3,2025-01-01,AA,1090,DCA,VA,DFW,TX,1154,1215.0,21.0,1.0,20.0,1442,1510.0,28.0,1.0,11.0,228.0,235.0,204.0,1192.0,0.0,,0.0,21.0,0.0,7.0,0.0,0.0,-7.0,1
2025,1,1,3,2025-01-01,AA,1153,DCA,VA,PBI,FL,1014,1010.0,-4.0,0.0,28.0,1309,1249.0,-20.0,0.0,4.0,175.0,159.0,127.0,857.0,0.0,,0.0,,,,,,16.0,0
